mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE
A1_H2_3_current_with_B0_rescue,test,C5-CO_mid_125_175,A1_h2_3_current_ppm,102,26.011637378247848,17.85848776621581,0.11560727723665712,2.6132851806466526,35.217828158826144
A1_H2_3_current_with_B0_rescue,test,C5-CO_high_200_250,A1_h2_3_current_ppm,102,34.81969974996081,23.753053269538224,0.15475422111093698,-16.68256089832186,44.93295386104911
A1_H2_3_current_with_B0_rescue,test,C5-nonCO,A1_h2_3_current_ppm,1020,29.072633663430835,8.079303437871529,0.23248756005739096,2.6775011048067827,10.599048133053124
A1_H2_3_current_with_B0_rescue,test,nonCO_ALL,A1_h2_3_current_ppm,4050,17.831882292749544,5.729507888259403,0.1434725761591129,1.1667725913752027,10.535172602497916
A2_H2_3_direct_only_no_B0_rescue,test,ALL,A2_h2_3_direct_only_ppm,5400,22.38865935493217,7.975308940031626,0.14362731130122694,-0.35972726025000107,15.575040663327929
A2_H2_3_direct_only_no_B0_rescue,test,C3,A2_h2_3_direct_only_ppm,2680,13.935954190366488,5.966502025127395,0.10227651137679823,0.1104541744213265,12.889371172619672
A2_H2_3_direct_only_no_B0_rescue,test,C3-CO,A2_h2_3_direct_only_ppm,670,16.152022803297587,9.213196311973272,0.07178676801465594,-1.8414828849388287,19.17915320133957
A2_H2_3_direct_only_no_B0_rescue,test,C3-CO_low_25_100,A2_h2_3_direct_only_ppm,268,9.600600953202305,6.204518350598524,0.04266933756978802,0.41952255380051395,14.2273235181939
A2_H2_3_direct_only_no_B0_rescue,test,C3-CO_mid_125_175,A2_h2_3_direct_only_ppm,201,18.60424928016379,10.699247242035378,0.0826855523562835,-0.4471241365627035,19.383691474831693
A2_H2_3_direct_only_no_B0_rescue,test,C3-CO_high_200_250,A2_h2_3_direct_only_ppm,201,20.015310622092212,11.738715997077499,0.0889569360981876,-6.250515551634078,28.979979819346994
A2_H2_3_direct_only_no_B0_rescue,test,C3-nonCO,A2_h2_3_direct_only_ppm,2010,13.11431070937048,4.884270596178769,0.11058721905603637,0.7610998608747116,10.105361116643433
A2_H2_3_direct_only_no_B0_rescue,test,C4,A2_h2_3_direct_only_ppm,1360,28.167682928222657,9.410063555928849,0.13113866142290861,-2.2781088205086704,16.313880027124398
A2_H2_3_direct_only_no_B0_rescue,test,C4-CO,A2_h2_3_direct_only_ppm,340,54.20708106810707,22.504273216355706,0.24092036030269812,-10.478809246177276,33.8426360329072
A2_H2_3_direct_only_no_B0_rescue,test,C4-CO_low_25_100,A2_h2_3_direct_only_ppm,136,9.59701175105634,7.585513210550539,0.042653385560250404,6.983933742555292,14.892692625073046
A2_H2_3_direct_only_no_B0_rescue,test,C4-CO_mid_125_175,A2_h2_3_direct_only_ppm,102,17.908504869489626,14.838711236761172,0.07959335497550947,0.35261889117986317,32.12744398331302
A2_H2_3_direct_only_no_B0_rescue,test,C4-CO_high_200_250,A2_h2_3_direct_only_ppm,102,96.70146879453635,50.06151520369045,0.4297843057534949,-44.5938947018445,237.5
A2_H2_3_direct_only_no_B0_rescue,test,C4-nonCO,A2_h2_3_direct_only_ppm,1020,8.855616075975215,5.04532700245323,0.05985196758332786,0.45545798804753124,11.43022800385153
A2_H2_3_direct_only_no_B0_rescue,test,C5,A2_h2_3_direct_only_ppm,1360,28.53309737745913,10.499085597622148,0.20999483779196768,0.6321202963916404,23.84243345177697
A2_H2_3_direct_only_no_B0_rescue,test,C5-CO,A2_h2_3_direct_only_ppm,340,26.849515813550635,17.758432076874016,0.11933118139355837,-5.504022128853786,36.41128393309119
A2_H2_3_direct_only_no_B0_rescue,test,C5-CO_low_25_100,A2_h2_3_direct_only_ppm,136,19.63361075360573,13.187424415369504,0.08726049223824768,-3.2080985338780628,26.27758951330722
A2_H2_3_direct_only_no_B0_rescue,test,C5-CO_mid_125_175,A2_h2_3_direct_only_ppm,102,26.011637378247848,17.85848776621581,0.11560727723665712,2.6132851806466526,35.217828158826144
A2_H2_3_direct_only_no_B0_rescue,test,C5-CO_high_200_250,A2_h2_3_direct_only_ppm,102,34.81969974996081,23.753053269538224,0.15475422111093698,-16.68256089832186,44.93295386104911
A2_H2_3_direct_only_no_B0_rescue,test,C5-nonCO,A2_h2_3_direct_only_ppm,1020,29.072633663430835,8.079303437871529,0.23248756005739096,2.6775011048067827,10.599048133053124
A2_H2_3_direct_only_no_B0_rescue,test,nonCO_ALL,A2_h2_3_direct_only_ppm,4050,17.831882292749544,5.729507888259403,0.1434725761591129,1.1667725913752027,10.535172602497916
A3_no_auto_v2_ppm_feature,test,ALL,A3_no_auto_v2_ppm_feature_ppm,5400,22.38865935493217,7.975308940031626,0.14362731130122694,-0.35972726025000107,15.575040663327929
A3_no_auto_v2_ppm_feature,test,C3,A3_no_auto_v2_ppm_feature_ppm,2680,13.935954190366488,5.966502025127395,0.10227651137679823,0.1104541744213265,12.889371172619672
A3_no_auto_v2_ppm_feature,test,C3-CO,A3_no_auto_v2_ppm_feature_ppm,670,16.152022803297587,9.213196311973272,0.07178676801465594,-1.8414828849388287,19.17915320133957
A3_no_auto_v2_ppm_feature,test,C3-CO_low_25_100,A3_no_auto_v2_ppm_feature_ppm,268,9.600600953202305,6.204518350598524,0.04266933756978802,0.41952255380051395,14.2273235181939
A3_no_auto_v2_ppm_feature,test,C3-CO_mid_125_175,A3_no_auto_v2_ppm_feature_ppm,201,18.60424928016379,10.699247242035378,0.0826855523562835,-0.4471241365627035,19.383691474831693
A3_no_auto_v2_ppm_feature,test,C3-CO_high_200_250,A3_no_auto_v2_ppm_feature_ppm,201,20.015310622092212,11.738715997077499,0.0889569360981876,-6.250515551634078,28.979979819346994
A3_no_auto_v2_ppm_feature,test,C3-nonCO,A3_no_auto_v2_ppm_feature_ppm,2010,13.11431070937048,4.884270596178769,0.11058721905603637,0.7610998608747116,10.105361116643433
A3_no_auto_v2_ppm_feature,test,C4,A3_no_auto_v2_ppm_feature_ppm,1360,28.167682928222657,9.410063555928849,0.13113866142290861,-2.2781088205086704,16.313880027124398
A3_no_auto_v2_ppm_feature,test,C4-CO,A3_no_auto_v2_ppm_feature_ppm,340,54.20708106810707,22.504273216355706,0.24092036030269812,-10.478809246177276,33.8426360329072
A3_no_auto_v2_ppm_feature,test,C4-CO_low_25_100,A3_no_auto_v2_ppm_feature_ppm,136,9.59701175105634,7.585513210550539,0.042653385560250404,6.983933742555292,14.892692625073046
A3_no_auto_v2_ppm_feature,test,C4-CO_mid_125_175,A3_no_auto_v2_ppm_feature_ppm,102,17.908504869489626,14.838711236761172,0.07959335497550947,0.35261889117986317,32.12744398331302
A3_no_auto_v2_ppm_feature,test,C4-CO_high_200_250,A3_no_auto_v2_ppm_feature_ppm,102,96.70146879453635,50.06151520369045,0.4297843057534949,-44.5938947018445,237.5
A3_no_auto_v2_ppm_feature,test,C4-nonCO,A3_no_auto_v2_ppm_feature_ppm,1020,8.855616075975215,5.04532700245323,0.05985196758332786,0.45545798804753124,11.43022800385153
A3_no_auto_v2_ppm_feature,test,C5,A3_no_auto_v2_ppm_feature_ppm,1360,28.53309737745913,10.499085597622148,0.20999483779196768,0.6321202963916404,23.84243345177697
A3_no_auto_v2_ppm_feature,test,C5-CO,A3_no_auto_v2_ppm_feature_ppm,340,26.849515813550635,17.758432076874016,0.11933118139355837,-5.504022128853786,36.41128393309119
A3_no_auto_v2_ppm_feature,test,C5-CO_low_25_100,A3_no_auto_v2_ppm_feature_ppm,136,19.63361075360573,13.187424415369504,0.08726049223824768,-3.2080985338780628,26.27758951330722
A3_no_auto_v2_ppm_feature,test,C5-CO_mid_125_175,A3_no_auto_v2_ppm_feature_ppm,102,26.011637378247848,17.85848776621581,0.11560727723665712,2.6132851806466526,35.217828158826144
A3_no_auto_v2_ppm_feature,test,C5-CO_high_200_250,A3_no_auto_v2_ppm_feature_ppm,102,34.81969974996081,23.753053269538224,0.15475422111093698,-16.68256089832186,44.93295386104911
A3_no_auto_v2_ppm_feature,test,C5-nonCO,A3_no_auto_v2_ppm_feature_ppm,1020,29.072633663430835,8.079303437871529,0.23248756005739096,2.6775011048067827,10.599048133053124
A3_no_auto_v2_ppm_feature,test,nonCO_ALL,A3_no_auto_v2_ppm_feature_ppm,4050,17.831882292749544,5.729507888259403,0.1434725761591129,1.1667725913752027,10.535172602497916
A4_no_r3ak16_ppm_feature,test,ALL,A4_no_r3ak16_ppm_feature_ppm,5400,22.38865935493217,7.975308940031626,0.14362731130122694,-0.35972726025000107,15.575040663327929
A4_no_r3ak16_ppm_feature,test,C3,A4_no_r3ak16_ppm_feature_ppm,2680,13.935954190366488,5.966502025127395,0.10227651137679823,0.1104541744213265,12.889371172619672
A4_no_r3ak16_ppm_feature,test,C3-CO,A4_no_r3ak16_ppm_feature_ppm,670,16.152022803297587,9.213196311973272,0.07178676801465594,-1.8414828849388287,19.17915320133957
A4_no_r3ak16_ppm_feature,test,C3-CO_low_25_100,A4_no_r3ak16_ppm_feature_ppm,268,9.600600953202305,6.204518350598524,0.04266933756978802,0.41952255380051395,14.2273235181939
A4_no_r3ak16_ppm_feature,test,C3-CO_mid_125_175,A4_no_r3ak16_ppm_feature_ppm,201,18.60424928016379,10.699247242035378,0.0826855523562835,-0.4471241365627035,19.383691474831693
A4_no_r3ak16_ppm_feature,test,C3-CO_high_200_250,A4_no_r3ak16_ppm_feature_ppm,201,20.015310622092212,11.738715997077499,0.0889569360981876,-6.250515551634078,28.979979819346994
A4_no_r3ak16_ppm_feature,test,C3-nonCO,A4_no_r3ak16_ppm_feature_ppm,2010,13.11431070937048,4.884270596178769,0.11058721905603637,0.7610998608747116,10.105361116643433
A4_no_r3ak16_ppm_feature,test,C4,A4_no_r3ak16_ppm_feature_ppm,1360,28.167682928222657,9.410063555928849,0.13113866142290861,-2.2781088205086704,16.313880027124398
A4_no_r3ak16_ppm_feature,test,C4-CO,A4_no_r3ak16_ppm_feature_ppm,340,54.20708106810707,22.504273216355706,0.24092036030269812,-10.478809246177276,33.8426360329072
A4_no_r3ak16_ppm_feature,test,C4-CO_low_25_100,A4_no_r3ak16_ppm_feature_ppm,136,9.59701175105634,7.585513210550539,0.042653385560250404,6.983933742555292,14.892692625073046
A4_no_r3ak16_ppm_feature,test,C4-CO_mid_125_175,A4_no_r3ak16_ppm_feature_ppm,102,17.908504869489626,14.838711236761172,0.07959335497550947,0.35261889117986317,32.12744398331302
A4_no_r3ak16_ppm_feature,test,C4-CO_high_200_250,A4_no_r3ak16_ppm_feature_ppm,102,96.70146879453635,50.06151520369045,0.4297843057534949,-44.5938947018445,237.5
A4_no_r3ak16_ppm_feature,test,C4-nonCO,A4_no_r3ak16_ppm_feature_ppm,1020,8.855616075975215,5.04532700245323,0.05985196758332786,0.45545798804753124,11.43022800385153
A4_no_r3ak16_ppm_feature,test,C5,A4_no_r3ak16_ppm_feature_ppm,1360,28.53309737745913,10.499085597622148,0.20999483779196768,0.6321202963916404,23.84243345177697
