mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE
source_aug_target_Ridge_plus_C4_rescue,test,C5-CO_low_25_100,source_aug_target_ridge_plus_c4_rescue_ppm,136,22.6597950956843,14.1838824532249,0.10071020042526356,0.01565334119558958,34.041219826527964
source_aug_target_Ridge_plus_C4_rescue,test,C5-CO_mid_125_175,source_aug_target_ridge_plus_c4_rescue_ppm,102,27.64785443042369,19.206916438899807,0.12287935302410528,8.044238871000053,39.43033481427164
source_aug_target_Ridge_plus_C4_rescue,test,C5-CO_high_200_250,source_aug_target_ridge_plus_c4_rescue_ppm,102,30.717494855269592,18.58388401479219,0.13652219935675372,-14.628309420529003,36.31695323256643
source_aug_target_Ridge_plus_C4_rescue,test,C5-nonCO,source_aug_target_ridge_plus_c4_rescue_ppm,1020,31.86391194210973,8.097389537300888,0.2499835584889814,2.1945115980430283,8.488348936786139
source_aug_target_Ridge_plus_C4_rescue,test,nonCO_ALL,source_aug_target_ridge_plus_c4_rescue_ppm,4050,18.977507524972765,5.513791570516615,0.15088692393324557,1.006058683126419,9.124670399059923
H8_plus_formal_C4_rescue,test,ALL,formal_c4_route_rescue_ppm,5400,18.30411372953233,6.798434963264004,0.13500614497338967,0.5514208676440424,13.471368729898032
H8_plus_formal_C4_rescue,test,C3,formal_c4_route_rescue_ppm,2680,13.620238283958447,5.666237074098946,0.1015704138933843,-0.04677206684159901,11.990349823912727
H8_plus_formal_C4_rescue,test,C3-CO,formal_c4_route_rescue_ppm,670,14.973439474138715,7.8060377050609695,0.06654861988506096,-0.9857323996930201,14.815470786430053
H8_plus_formal_C4_rescue,test,C3-CO_low_25_100,formal_c4_route_rescue_ppm,268,6.926305386278142,4.778008218179385,0.030783579494569516,1.0144097484488728,11.557410107711346
H8_plus_formal_C4_rescue,test,C3-CO_mid_125_175,formal_c4_route_rescue_ppm,201,16.912798035778188,9.240992872927945,0.07516799127012529,1.7703018603346374,14.794790066227876
H8_plus_formal_C4_rescue,test,C3-CO_high_200_250,formal_c4_route_rescue_ppm,201,19.933354454648324,10.408455186369439,0.08859268646510367,-6.408622857243202,18.66812412904673
H8_plus_formal_C4_rescue,test,C3-nonCO,formal_c4_route_rescue_ppm,2010,13.138235218393854,4.952970197111607,0.11081136690383235,0.2662147107755414,10.146865418220322
H8_plus_formal_C4_rescue,test,C4,formal_c4_route_rescue_ppm,1360,11.508053701243398,6.013591269892007,0.06434977065164638,0.3537496948124124,13.520823915180094
H8_plus_formal_C4_rescue,test,C4-CO,formal_c4_route_rescue_ppm,340,17.16028530379363,8.918384072208339,0.07626793468352723,0.048624815107055165,19.036409094466837
H8_plus_formal_C4_rescue,test,C4-CO_low_25_100,formal_c4_route_rescue_ppm,136,6.692754966440107,4.7229166687970805,0.0297455776286227,1.193347760138561,12.029805553994919
H8_plus_formal_C4_rescue,test,C4-CO_mid_125_175,formal_c4_route_rescue_ppm,102,14.285941439305226,10.741714380995237,0.06349307306357879,0.8264172141986678,27.82913341989478
H8_plus_formal_C4_rescue,test,C4-CO_high_200_250,formal_c4_route_rescue_ppm,102,26.791277638384134,12.689010301303119,0.11907234505948505,-2.255464844026564,24.693753628856896
H8_plus_formal_C4_rescue,test,C4-nonCO,formal_c4_route_rescue_ppm,1020,8.855616075975213,5.04532700245323,0.05985196758332785,0.4554579880475314,11.430228003851528
H8_plus_formal_C4_rescue,test,C5,formal_c4_route_rescue_ppm,1360,28.849736634244074,9.814374497049496,0.21886067596161612,1.927883999609142,19.161955030755987
H8_plus_formal_C4_rescue,test,C5-CO,formal_c4_route_rescue_ppm,340,23.688716718494863,14.410768064432384,0.10528318541553272,-0.9297869261347943,30.17778449277127
H8_plus_formal_C4_rescue,test,C5-CO_low_25_100,formal_c4_route_rescue_ppm,136,18.592003526362742,11.854060585634054,0.08263112678383441,-2.0300781527889895,25.63321870584118
H8_plus_formal_C4_rescue,test,C5-CO_mid_125_175,formal_c4_route_rescue_ppm,102,25.514141050294022,17.47698313026644,0.11339618244575123,5.207623931822209,34.7482082775104
H8_plus_formal_C4_rescue,test,C5-CO_high_200_250,formal_c4_route_rescue_ppm,102,27.54383437717018,14.753496303662764,0.12241704167631193,-5.600142815219535,28.055158644271877
H8_plus_formal_C4_rescue,test,C5-nonCO,formal_c4_route_rescue_ppm,1020,30.375834231023628,8.282243307921865,0.24529943117087238,2.880440974857121,10.599048133053124
H8_plus_formal_C4_rescue,test,nonCO_ALL,formal_c4_route_rescue_ppm,4050,18.37932337781323,5.814714027846154,0.1488310501222727,0.9722737063756997,10.588118606054724
L3_light_source_ridge_full_auto_v2,test,ALL,source_ridge_val_selected_ppm,5400,22.616626276719135,7.769897364215621,0.1491964736150363,-0.5051978527407461,14.496704342714157
